"ISO","year","armed_conflict"
"CUB",2011,NA
"CUB",2012,NA
"CUB",2013,NA
"CUB",2014,NA
"CUB",2015,NA
"CUB",2016,NA
"CUB",2017,NA
"CUB",2018,NA
"CUB",2019,NA
"CYP",2000,NA
"CYP",2001,NA
"CYP",2002,NA
"CYP",2003,NA
"CYP",2004,NA
"CYP",2005,NA
"CYP",2006,NA
"CYP",2007,NA
"CYP",2008,NA
"CYP",2009,NA
"CYP",2010,NA
"CYP",2011,NA
"CYP",2012,NA
"CYP",2013,NA
"CYP",2014,NA
"CYP",2015,NA
"CYP",2016,NA
"CYP",2017,NA
"CYP",2018,NA
"CYP",2019,NA
"CZE",2000,NA
"CZE",2001,NA
"CZE",2002,NA
"CZE",2003,NA
"CZE",2004,NA
"CZE",2005,NA
"CZE",2006,NA
"CZE",2007,NA
"CZE",2008,NA
"CZE",2009,NA
"CZE",2010,NA
"CZE",2011,NA
"CZE",2012,NA
"CZE",2013,NA
"CZE",2014,NA
"CZE",2015,NA
"CZE",2016,NA
"CZE",2017,NA
"CZE",2018,NA
"CZE",2019,NA
"DEU",2000,NA
"DEU",2001,NA
"DEU",2002,NA
"DEU",2003,NA
"DEU",2004,NA
"DEU",2005,NA
"DEU",2006,NA
"DEU",2007,NA
"DEU",2008,NA
"DEU",2009,NA
"DEU",2010,NA
"DEU",2011,NA
"DEU",2012,NA
"DEU",2013,NA
"DEU",2014,NA
"DEU",2015,NA
"DEU",2016,NA
"DEU",2017,0
"DEU",2018,NA
"DEU",2019,NA
"DJI",2000,1
"DJI",2001,NA
"DJI",2002,NA
"DJI",2003,NA
"DJI",2004,NA
"DJI",2005,NA
"DJI",2006,NA
"DJI",2007,NA
"DJI",2008,NA
"DJI",2009,1
"DJI",2010,NA
"DJI",2011,NA
"DJI",2012,NA
"DJI",2013,NA
"DJI",2014,NA
"DJI",2015,0
"DJI",2016,NA
"DJI",2017,NA
"DJI",2018,NA
"DJI",2019,0
"DMA",2000,NA
"DMA",2001,NA
"DMA",2002,NA
"DMA",2003,NA
"DMA",2004,NA
"DMA",2005,NA
"DMA",2006,NA
"DMA",2007,NA
"DMA",2008,NA
"DMA",2009,NA
"DMA",2010,NA
"DMA",2011,NA
"DMA",2012,NA
"DMA",2013,NA
"DMA",2014,NA
"DMA",2015,NA
"DMA",2016,NA
"DMA",2017,NA
"DMA",2018,NA
"DMA",2019,NA
"DNK",2000,NA
"DNK",2001,NA
"DNK",2002,NA
"DNK",2003,NA
"DNK",2004,NA
"DNK",2005,NA
"DNK",2006,NA
"DNK",2007,NA
"DNK",2008,NA
"DNK",2009,NA
"DNK",2010,NA
"DNK",2011,NA
"DNK",2012,NA
"DNK",2013,NA
"DNK",2014,NA
"DNK",2015,NA
"DNK",2016,NA
"DNK",2017,NA
"DNK",2018,NA
"DNK",2019,NA
"DOM",2000,NA
"DOM",2001,NA
"DOM",2002,NA
"DOM",2003,NA
"DOM",2004,NA
"DOM",2005,NA
"DOM",2006,NA
"DOM",2007,NA
"DOM",2008,NA
"DOM",2009,NA
"DOM",2010,NA
"DOM",2011,NA
"DOM",2012,NA
"DOM",2013,NA
"DOM",2014,NA
"DOM",2015,NA
"DOM",2016,NA
"DOM",2017,NA
"DOM",2018,NA
"DOM",2019,NA
"DZA",2000,1
"DZA",2001,1
"DZA",2002,1
"DZA",2003,1
"DZA",2004,1
"DZA",2005,1
"DZA",2006,1
"DZA",2007,1
"DZA",2008,1
"DZA",2009,1
"DZA",2010,1
"DZA",2011,1
"DZA",2012,1
"DZA",2013,1
"DZA",2014,1
"DZA",2015,1
"DZA",2016,1
"DZA",2017,1
"DZA",2018,1
"DZA",2019,1
"ECU",2000,NA
"ECU",2001,NA
"ECU",2002,0
"ECU",2003,NA
"ECU",2004,1
"ECU",2005,NA
"ECU",2006,NA
"ECU",2007,NA
"ECU",2008,NA
"ECU",2009,1
"ECU",2010,NA
"ECU",2011,NA
"ECU",2012,NA
"ECU",2013,NA
"ECU",2014,NA
"ECU",2015,NA
"ECU",2016,NA
"ECU",2017,NA
"ECU",2018,NA
"ECU",2019,NA
"EGY",2000,0
"EGY",2001,0
"EGY",2002,NA
"EGY",2003,NA
"EGY",2004,NA
"EGY",2005,1
"EGY",2006,1
"EGY",2007,0
"EGY",2008,NA
"EGY",2009,0
"EGY",2010,0
"EGY",2011,0
"EGY",2012,1
"EGY",2013,1
"EGY",2014,1
"EGY",2015,1
"EGY",2016,1
"EGY",2017,1
"EGY",2018,1
"EGY",2019,1
"ERI",2000,1
"ERI",2001,1
"ERI",2002,NA
"ERI",2003,NA
"ERI",2004,1
"ERI",2005,NA
"ERI",2006,NA
"ERI",2007,NA
"ERI",2008,NA
"ERI",2009,0
"ERI",2010,NA
"ERI",2011,NA
"ERI",2012,NA
"ERI",2013,NA
"ERI",2014,NA
"ERI",2015,NA
"ERI",2016,NA
"ERI",2017,1
"ERI",2018,NA
"ERI",2019,NA
"ESP",2000,NA
"ESP",2001,0
"ESP",2002,0
"ESP",2003,0
"ESP",2004,0
"ESP",2005,1
"ESP",2006,NA
"ESP",2007,NA
"ESP",2008,NA
"ESP",2009,0
"ESP",2010,0
"ESP",2011,NA
"ESP",2012,0
"ESP",2013,NA
"ESP",2014,NA
"ESP",2015,NA
"ESP",2016,NA
"ESP",2017,NA
"ESP",2018,0
"ESP",2019,NA
"EST",2000,NA
"EST",2001,NA
"EST",2002,NA
"EST",2003,NA
"EST",2004,NA
"EST",2005,NA
"EST",2006,NA
"EST",2007,NA
"EST",2008,NA
"EST",2009,NA
"EST",2010,NA
"EST",2011,NA
"EST",2012,NA
"EST",2013,NA
"EST",2014,NA
"EST",2015,NA
"EST",2016,NA
"EST",2017,NA
"EST",2018,NA
"EST",2019,NA
"ETH",2000,1
"ETH",2001,1
"ETH",2002,1
"ETH",2003,1
"ETH",2004,1
"ETH",2005,1
"ETH",2006,1
"ETH",2007,1
"ETH",2008,1
"ETH",2009,1
"ETH",2010,1
"ETH",2011,1
"ETH",2012,1
"ETH",2013,1
"ETH",2014,1
"ETH",2015,1
"ETH",2016,1
"ETH",2017,1
"ETH",2018,1
"ETH",2019,1
"FIN",2000,NA
"FIN",2001,NA
"FIN",2002,NA
"FIN",2003,NA
"FIN",2004,NA
"FIN",2005,NA
"FIN",2006,NA
"FIN",2007,NA
"FIN",2008,NA
"FIN",2009,NA
"FIN",2010,NA
"FIN",2011,NA
"FIN",2012,NA
"FIN",2013,NA
"FIN",2014,NA
"FIN",2015,NA
"FIN",2016,NA
